day,turns,agents
2026-06-08,49,21
2026-06-09,2626,50
2026-06-10,3218,72
2026-06-11,2200,79
2026-06-12,2690,45
2026-06-13,2749,49
2026-06-14,2476,47
2026-06-15,1690,24
2026-06-16,1597,24
2026-06-17,1511,28
2026-06-18,1472,38
2026-06-19,2010,40
2026-06-20,2137,46
2026-06-21,2598,101
2026-06-22,4634,106
2026-06-23,4447,124
2026-06-24,3072,70
2026-06-25,3018,69
2026-06-26,2731,50
2026-06-27,2909,75
2026-06-28,3920,72
2026-06-29,4030,81
2026-06-30,3955,71
2026-07-01,3983,76
2026-07-02,4260,72
2026-07-03,3293,71
2026-07-04,3687,106
2026-07-05,4503,141
2026-07-06,4127,128
2026-07-07,3696,161
2026-07-08,3844,121
2026-07-09,2862,74
2026-07-10,4931,164
2026-07-11,5503,179
2026-07-12,5632,129
2026-07-13,4622,167
2026-07-14,4408,104
2026-07-15,4373,103
2026-07-16,4383,103
2026-07-17,4407,139
2026-07-18,4110,115
2026-07-19,4505,115
2026-07-20,4650,115
2026-07-21,4644,119
2026-07-22,3662,121
2026-07-23,3676,94
2026-07-24,4147,121
2026-07-25,4555,127
2026-07-26,3606,95
2026-07-27,3730,95
2026-07-28,3720,96
2026-07-29,3790,97
2026-07-30,3784,98
2026-07-31,3792,100
2026-08-01,3803,100
2026-08-02,3804,100
2026-08-03,3830,100
2026-08-04,3337,103
2026-08-05,2464,69
2026-08-06,2462,67
2026-08-07,2476,67
2026-08-08,2478,67
2026-08-09,2427,67
2026-08-10,2412,66
2026-08-11,2425,66
2026-08-12,2419,66
2026-08-13,2425,66
2026-08-14,2431,66
2026-08-15,1821,66
